supplier,sku,laya,laya_prob
IEK,010300157_,УЗО и дифавтоматы,1.0
IEK,010300159_,УЗО и дифавтоматы,1.0
IEK,010300160_,УЗО и дифавтоматы,1.0
IEK,010300161_,УЗО и дифавтоматы,1.0
IEK,010300162_,УЗО и дифавтоматы,1.0
IEK,010300163_,УЗО и дифавтоматы,1.0
IEK,010300165_,УЗО и дифавтоматы,0.9284
IEK,010300166_,УЗО и дифавтоматы,0.9373
IEK,010300167_,УЗО и дифавтоматы,0.9311
IEK,010300168_,УЗО и дифавтоматы,0.9327
IEK,010300169_,УЗО и дифавтоматы,0.9232
IEK,010300171_,УЗО и дифавтоматы,0.7918
IEK,010300184_,УЗО и дифавтоматы,0.4912
IEK,010300185_,УЗО и дифавтоматы,0.4696
IEK,010300188_,УЗО и дифавтоматы,0.504
IEK,010300189_,УЗО и дифавтоматы,0.5523
IEK,010300191_,УЗО и дифавтоматы,0.5357
IEK,010300200_,УЗО и дифавтоматы,0.7127
IEK,010300239_,Измерения и инструмент,0.405
IEK,010300242_,Измерения и инструмент,0.4038
IEK,010300250_,Измерения и инструмент,0.3407
IEK,010300251_,Измерения и инструмент,0.7435
IEK,010300252_,Измерения и инструмент,0.7872
IEK,010400842_,Розетки и выключатели,0.9311
IEK,010400849_,Розетки и выключатели,0.9354
IEK,010400850_,Розетки и выключатели,0.934
IEK,010400854_,Розетки и выключатели,0.9234
IEK,010400865_,Розетки и выключатели,0.8751
IEK,010400867_,Розетки и выключатели,0.8578
IEK,010400925_,Розетки и выключатели,0.9252
IEK,010400926_,Розетки и выключатели,0.932
IEK,010400927_,Розетки и выключатели,0.928
IEK,010400928_,Розетки и выключатели,0.9304
IEK,010400929_,Розетки и выключатели,0.8636
IEK,010400930_,Розетки и выключатели,0.8756
IEK,010400931_,Розетки и выключатели,0.8784
IEK,010400932_,Розетки и выключатели,0.8688
IEK,010400933_,Розетки и выключатели,0.8733
IEK,010400934_,Розетки и выключатели,0.8766
IEK,010400939_,"Контакторы, пускатели, управление",0.1887
IEK,010400940_,Щиты и боксы,0.2545
IEK,010400941_,"Кабель, провод, СКС",0.3743
IEK,010400942_,"Кабель, провод, СКС",0.4001
IEK,010400943_,"Контакторы, пускатели, управление",0.4815
IEK,010400944_,"Контакторы, пускатели, управление",0.511
IEK,010400945_,"Кабель, провод, СКС",0.3958
IEK,010400946_,"Шины, клеммы, изоляторы",0.4765
IEK,010400947_,"Контакторы, пускатели, управление",0.4692
IEK,010400948_,"Кабель, провод, СКС",0.2057
IEK,010400949_,"Кабель, провод, СКС",0.3176
IEK,010400950_,"Контакторы, пускатели, управление",0.6994
IEK,010400951_,"Кабель, провод, СКС",0.183
IEK,010400952_,"Кабель, провод, СКС",0.297
IEK,010400953_,"Шины, клеммы, изоляторы",0.283
IEK,010400954_,"Кабель, провод, СКС",0.3289
IEK,010400955_,Розетки и выключатели,0.2008
IEK,010400956_,"Контакторы, пускатели, управление",0.3087
IEK,010400957_,"Кабель, провод, СКС",0.313
IEK,010400958_,"Контакторы, пускатели, управление",0.4662
IEK,010500001_,"Кабель, провод, СКС",0.3459
IEK,010500002_,"Кабель, провод, СКС",0.6498
IEK,010500003_,"Кабель, провод, СКС",0.3546
IEK,010500004_,"Кабель, провод, СКС",0.3596
IEK,010500005_,Измерения и инструмент,0.4315
IEK,010500006_,Измерения и инструмент,0.3959
IEK,010500007_,Измерения и инструмент,0.3603
IEK,010500008_,Измерения и инструмент,0.3787
IEK,010500009_,Измерения и инструмент,0.4114
IEK,010500010_,Измерения и инструмент,0.4165
IEK,010500011_,Измерения и инструмент,0.4103
IEK,010500012_,Измерения и инструмент,0.3359
IEK,010500017_,"Кабель, провод, СКС",0.7172
IEK,010500018_,Измерения и инструмент,0.4262
IEK,010500019_,Измерения и инструмент,0.4219
IEK,010500020_,Измерения и инструмент,0.3614
IEK,010500021_,Измерения и инструмент,0.403
IEK,010500022_,Измерения и инструмент,0.4427
IEK,010500023_,Измерения и инструмент,0.4018
IEK,010500024_,Измерения и инструмент,0.4427
IEK,010500025_,Измерения и инструмент,0.3605
IEK,010500029_,"Кабель, провод, СКС",0.7414
IEK,010500030_,"Кабель, провод, СКС",0.6755
IEK,010500031_,"Кабель, провод, СКС",0.6976
IEK,010500032_,Измерения и инструмент,0.507
IEK,010500033_,Измерения и инструмент,0.515
IEK,010500034_,Измерения и инструмент,0.4295
IEK,010500035_,Измерения и инструмент,0.5273
IEK,010500036_,Измерения и инструмент,0.5391
IEK,010500037_,Измерения и инструмент,0.4816
IEK,010500038_,Измерения и инструмент,0.5484
IEK,010500039_,Измерения и инструмент,0.4156
IEK,010500040_,"Кабель, провод, СКС",0.7278
IEK,010500041_,"Кабель, провод, СКС",0.7384
IEK,010500042_,"Кабель, провод, СКС",0.7709
IEK,010500044_,"Кабель, провод, СКС",0.3442
IEK,010500046_,"Кабель, провод, СКС",0.3274
IEK,010500047_,"Кабель, провод, СКС",0.3306
IEK,010500048_,"Кабель, провод, СКС",0.3387
IEK,010500050_,"Кабель, провод, СКС",0.3035
IEK,010500053_,"Кабель, провод, СКС",0.3365
IEK,010500054_,"Кабель, провод, СКС",0.3623
IEK,010500063_,Измерения и инструмент,0.4812
IEK,010500068_,"Кабель, провод, СКС",0.3448
IEK,010500082_,"Кабель, провод, СКС",0.2875
IEK,010500090_,Измерения и инструмент,0.5307
IEK,010500091_,Измерения и инструмент,0.4455
IEK,010500092_,Измерения и инструмент,0.5511
IEK,010500093_,Измерения и инструмент,0.5822
IEK,010500094_,Измерения и инструмент,0.4948
IEK,010500095_,Измерения и инструмент,0.4789
IEK,010500101_,"Кабель, провод, СКС",0.684
IEK,010500102_,"Кабель, провод, СКС",0.793
IEK,010500103_,"Кабель, провод, СКС",0.3693
IEK,010500111_,"Кабель, провод, СКС",0.7392
IEK,010500122_,"Кабель, провод, СКС",0.7398
IEK,010500123_,Измерения и инструмент,0.4765
IEK,010500124_,"Кабель, провод, СКС",0.6237
IEK,010500129_,"Кабель, провод, СКС",0.48
IEK,010500136_,Измерения и инструмент,0.3788
IEK,010500137_,Измерения и инструмент,0.356
IEK,010500138_,Измерения и инструмент,0.3614
IEK,010500139_,Измерения и инструмент,0.3789
IEK,010500141_,Измерения и инструмент,0.329
IEK,010500143_,Измерения и инструмент,0.3243
IEK,010500145_,Измерения и инструмент,0.3656
IEK,010500147_,Розетки и выключатели,0.3303
IEK,010500148_,Измерения и инструмент,0.3742
IEK,010500149_,Розетки и выключатели,0.334
IEK,010500150_,Измерения и инструмент,0.3159
IEK,010500151_,Измерения и инструмент,0.3429
IEK,010500152_,Розетки и выключатели,0.3568
IEK,010500153_,Розетки и выключатели,0.3577
IEK,010500156_,Измерения и инструмент,0.428
IEK,010500157_,Измерения и инструмент,0.4391
IEK,010500160_,Измерения и инструмент,0.4273
IEK,010500162_,Измерения и инструмент,0.3381
IEK,010500163_,Измерения и инструмент,0.4452
IEK,010500187_,Измерения и инструмент,0.525
IEK,010500188_,Измерения и инструмент,0.4979
IEK,010700001_,Измерения и инструмент,0.4286
IEK,010700002_,Измерения и инструмент,0.4184
IEK,010700003_,Измерения и инструмент,0.3796
IEK,010700016_,Измерения и инструмент,0.569
IEK,010700021_,Измерения и инструмент,0.4869
IEK,010700029_,Измерения и инструмент,0.3941
IEK,010700030_,Измерения и инструмент,0.3553
IEK,010700031_,Измерения и инструмент,0.4194
IEK,010700032_,Измерения и инструмент,0.408
IEK,010700036_,"Кабель, провод, СКС",0.3741
IEK,010700037_,"Кабель, провод, СКС",0.2972
IEK,010700041_,Измерения и инструмент,0.5394
IEK,010700042_,"Кабель, провод, СКС",0.3612
IEK,010700043_,"Кабель, провод, СКС",0.2404
IEK,010700044_,"Кабель, провод, СКС",0.2273
IEK,010700045_,"Кабель, провод, СКС",0.2822
IEK,010700046_,"Кабель, провод, СКС",0.2553
IEK,010700047_,Измерения и инструмент,0.3964
IEK,010700048_,Измерения и инструмент,0.5258
IEK,010700049_,Измерения и инструмент,0.3997
IEK,010700055_,Измерения и инструмент,0.6057
IEK,010700058_,Измерения и инструмент,0.8821
IEK,010700059_,Измерения и инструмент,0.5216
IEK,010700068_,Измерения и инструмент,0.2497
IEK,010700071_,"Кабель, провод, СКС",0.3064
IEK,010700084_,"Кабель, провод, СКС",0.4214
IEK,010700102_,Измерения и инструмент,0.424
IEK,010700103_,Измерения и инструмент,0.4296
IEK,010700118_,"Кабель, провод, СКС",0.3705
IEK,010700133_,Измерения и инструмент,0.5489
IEK,010700134_,Измерения и инструмент,0.6065
IEK,010700135_,Измерения и инструмент,0.6208
IEK,010700136_,Измерения и инструмент,0.5877
IEK,010700137_,Измерения и инструмент,0.547
IEK,010700138_,Измерения и инструмент,0.6022
IEK,010700139_,Измерения и инструмент,0.5529
IEK,010700140_,Измерения и инструмент,0.5557
IEK,010700141_,Измерения и инструмент,0.592
IEK,010700142_,Измерения и инструмент,0.4893
IEK,010700143_,Измерения и инструмент,0.5279
IEK,010700144_,Измерения и инструмент,0.5357
IEK,010700145_,Измерения и инструмент,0.5096
IEK,010700146_,Измерения и инструмент,0.4755
IEK,010700147_,Измерения и инструмент,0.5479
IEK,010700148_,Измерения и инструмент,0.5017
IEK,010700149_,Измерения и инструмент,0.4804
IEK,010700150_,Измерения и инструмент,0.5326
IEK,010700151_,Измерения и инструмент,0.4831
IEK,010700152_,Измерения и инструмент,0.5453
IEK,010700153_,Измерения и инструмент,0.5339
IEK,010700154_,Измерения и инструмент,0.5249
IEK,010700155_,Измерения и инструмент,0.4794
IEK,010700156_,Измерения и инструмент,0.5555
IEK,010700158_,Измерения и инструмент,0.5014
IEK,010700159_,Измерения и инструмент,0.481
IEK,010700160_,Измерения и инструмент,0.5228
IEK,010700161_,УЗО и дифавтоматы,0.9738
IEK,010700162_,УЗО и дифавтоматы,0.9899
IEK,010700163_,УЗО и дифавтоматы,0.9828
IEK,010700164_,УЗО и дифавтоматы,0.9941
IEK,010700165_,УЗО и дифавтоматы,0.9955
IEK,010700166_,УЗО и дифавтоматы,0.9946
IEK,010700167_,УЗО и дифавтоматы,1.0
IEK,010700168_,УЗО и дифавтоматы,1.0
IEK,010700169_,УЗО и дифавтоматы,0.9999
IEK,010700170_,УЗО и дифавтоматы,1.0
IEK,010700171_,УЗО и дифавтоматы,1.0
IEK,010700172_,УЗО и дифавтоматы,0.9998
IEK,010700175_,"Кабель, провод, СКС",0.3664
IEK,010800001_,Измерения и инструмент,0.653
IEK,010800002_,Измерения и инструмент,0.7068
IEK,010800003_,Измерения и инструмент,0.7002
IEK,010800004_,Измерения и инструмент,0.6395
IEK,010800005_,Измерения и инструмент,0.4802
IEK,010800006_,Измерения и инструмент,0.5071
IEK,010800009_,Измерения и инструмент,0.6457
IEK,010800010_,Измерения и инструмент,0.5205
IEK,010800011_,Измерения и инструмент,0.5626
IEK,010800012_,Измерения и инструмент,0.5392
IEK,010800015_,Измерения и инструмент,0.5726
IEK,010800016_,Измерения и инструмент,0.5083
IEK,010800017_,Измерения и инструмент,0.5839
IEK,010800018_,Измерения и инструмент,0.6462
IEK,010800019_,Измерения и инструмент,0.4957
IEK,010800020_,"Контакторы, пускатели, управление",0.4844
IEK,010800021_,"Контакторы, пускатели, управление",0.5167
IEK,010800022_,"Контакторы, пускатели, управление",0.5225
IEK,010800023_,"Контакторы, пускатели, управление",0.481
IEK,010800025_,"Кабель, провод, СКС",0.1836
IEK,010800027_,Измерения и инструмент,0.6804
IEK,010800028_,Измерения и инструмент,0.7479
IEK,010800029_,Измерения и инструмент,0.6249
IEK,010800030_,Измерения и инструмент,0.4583
IEK,010800031_,Измерения и инструмент,0.533
IEK,010800033_,Измерения и инструмент,0.5791
IEK,010800034_,Измерения и инструмент,0.7183
IEK,010800035_,Измерения и инструмент,0.6627
IEK,010800036_,"Кабель, провод, СКС",0.3282
IEK,010800037_,Светильники и лампы,0.5523
IEK,010800038_,Светильники и лампы,0.3355
IEK,010800039_,Светильники и лампы,0.344
IEK,010800040_,Измерения и инструмент,0.3758
IEK,010800041_,Измерения и инструмент,0.5019
IEK,010800042_,Измерения и инструмент,0.431
IEK,010800044_,Измерения и инструмент,0.4507
IEK,010800045_,Измерения и инструмент,0.4446
IEK,010800046_,Измерения и инструмент,0.3529
IEK,010800048_,"Контакторы, пускатели, управление",0.6275
IEK,010800049_,"Контакторы, пускатели, управление",0.6029
IEK,010800050_,"Контакторы, пускатели, управление",0.5496
IEK,010800051_,"Кабель, провод, СКС",0.3999
IEK,010800052_,"Кабель, провод, СКС",0.3246
IEK,010800053_,"Кабель, провод, СКС",0.4294
IEK,010800054_,"Контакторы, пускатели, управление",0.4781
IEK,010800055_,Измерения и инструмент,0.6298
IEK,010800056_,"Контакторы, пускатели, управление",0.8626
IEK,010800057_,"Контакторы, пускатели, управление",0.858
IEK,010800058_,"Контакторы, пускатели, управление",0.6073
IEK,010800060_,"Трубы, кабель-каналы, лотки",0.7454
IEK,010800061_,"Трубы, кабель-каналы, лотки",0.471
IEK,010800062_,"Трубы, кабель-каналы, лотки",0.7486
IEK,010800070_,"Кабель, провод, СКС",0.3731
IEK,010800106_,Измерения и инструмент,0.4018
IEK,010800115_,Измерения и инструмент,0.3187
IEK,010800139_,Измерения и инструмент,0.6524
IEK,010800203_,Розетки и выключатели,0.3047
IEK,010800209_,Розетки и выключатели,0.3534
IEK,010800258_,Измерения и инструмент,0.4855
IEK,011100062_,"Кабель, провод, СКС",0.4532
IEK,011100063_,"Кабель, провод, СКС",0.5353
IEK,011100064_,"Кабель, провод, СКС",0.4874
IEK,011100065_,"Кабель, провод, СКС",0.4129
IEK,011100066_,"Кабель, провод, СКС",0.3802
IEK,011100067_,"Контакторы, пускатели, управление",0.3987
IEK,011100068_,"Контакторы, пускатели, управление",0.4885
IEK,011100069_,"Контакторы, пускатели, управление",0.3599
IEK,011100071_,"Кабель, провод, СКС",0.3775
IEK,011100098_,"Кабель, провод, СКС",0.4497
IEK,011100121_,"Кабель, провод, СКС",0.2453
IEK,011100123_,"Контакторы, пускатели, управление",0.6917
IEK,011100124_,"Контакторы, пускатели, управление",0.7296
IEK,011100126_,"Контакторы, пускатели, управление",0.7059
IEK,011100210_,"Кабель, провод, СКС",0.2918
IEK,011100245_,"Контакторы, пускатели, управление",0.7595
IEK,011100249_,"Кабель, провод, СКС",0.5226
IEK,011100251_,"Кабель, провод, СКС",0.4749
IEK,011100253_,"Кабель, провод, СКС",0.5267
IEK,011100354_,"Контакторы, пускатели, управление",0.51
IEK,020100001_,"Кабель, провод, СКС",0.3871
IEK,020100002_,"Кабель, провод, СКС",0.4018
IEK,020100003_,"Кабель, провод, СКС",0.2919
IEK,020100004_,"Кабель, провод, СКС",0.3976
IEK,020100005_,"Кабель, провод, СКС",0.4121
IEK,020100006_,"Кабель, провод, СКС",0.4073
IEK,020100007_,Розетки и выключатели,0.2813
IEK,020100008_,Розетки и выключатели,0.8647
IEK,020100009_,Розетки и выключатели,0.9116
IEK,020100010_,Розетки и выключатели,0.9062
IEK,020100011_,Розетки и выключатели,0.9368
IEK,020100012_,Розетки и выключатели,0.9299
IEK,020100013_,Розетки и выключатели,0.9181
IEK,020100015_,Розетки и выключатели,0.8563
IEK,020100017_,Розетки и выключатели,0.6655
IEK,020100018_,Розетки и выключатели,0.8363
IEK,020100019_,Розетки и выключатели,0.8068
IEK,020100020_,Розетки и выключатели,0.848
IEK,020100021_,Розетки и выключатели,0.841
IEK,020100022_,Розетки и выключатели,0.8857
IEK,020100023_,Розетки и выключатели,0.8761
IEK,020100044_,"Кабель, провод, СКС",0.2793
IEK,020100045_,Розетки и выключатели,0.8677
IEK,020300080_,Коробки установочные,0.638
IEK,020300082_,Коробки установочные,0.557
IEK,020300088_,Коробки установочные,0.6402
IEK,020300150_,Коробки установочные,0.6098
IEK,030200406_,Щиты и боксы,0.6946
IEK,030200407_,"Кабель, провод, СКС",0.54
IEK,030200408_,"Кабель, провод, СКС",0.4985
IEK,030200409_,"Кабель, провод, СКС",0.5623
IEK,030200410_,"Кабель, провод, СКС",0.4631
IEK,030200411_,"Трубы, кабель-каналы, лотки",0.5133
IEK,030200412_,Измерения и инструмент,0.6949
IEK,030200413_,"Кабель, провод, СКС",0.4814
IEK,030200414_,Щиты и боксы,0.6181
IEK,030200415_,Щиты и боксы,0.5989
IEK,030200416_,"Трубы, кабель-каналы, лотки",0.3718
IEK,030200417_,"Трубы, кабель-каналы, лотки",0.4926
IEK,030200418_,"Трубы, кабель-каналы, лотки",0.424
IEK,030200419_,Измерения и инструмент,0.5419
IEK,030200420_,"Кабель, провод, СКС",0.5582
IEK,030200421_,"Кабель, провод, СКС",0.5326
IEK,030200422_,"Кабель, провод, СКС",0.5299
IEK,030200423_,"Кабель, провод, СКС",0.5231
IEK,030200424_,"Трубы, кабель-каналы, лотки",0.5854
IEK,030200425_,Измерения и инструмент,0.5809
IEK,030200426_,"Кабель, провод, СКС",0.5304
IEK,030200427_,"Кабель, провод, СКС",0.471
IEK,030200428_,Щиты и боксы,0.6734
IEK,030200429_,"Кабель, провод, СКС",0.286
IEK,030200430_,"Кабель, провод, СКС",0.2672
IEK,030200431_,"Кабель, провод, СКС",0.2492
IEK,030200432_,"Кабель, провод, СКС",0.2421
IEK,030200433_,Измерения и инструмент,0.6549
IEK,030200434_,Щиты и боксы,0.4654
IEK,030200435_,"Кабель, провод, СКС",0.6391
IEK,030200436_,"Кабель, провод, СКС",0.5805
IEK,030200437_,"Кабель, провод, СКС",0.6643
IEK,030200438_,"Кабель, провод, СКС",0.583
IEK,030200439_,"Трубы, кабель-каналы, лотки",0.539
IEK,030200440_,Измерения и инструмент,0.4387
IEK,030200441_,Розетки и выключатели,0.459
IEK,030200442_,"Кабель, провод, СКС",0.5762
IEK,030200443_,Коробки установочные,0.445
IEK,030200444_,"Кабель, провод, СКС",0.1958
IEK,030200445_,Коробки установочные,0.264
IEK,030200446_,Коробки установочные,0.2873
IEK,030200447_,Измерения и инструмент,0.4842
IEK,030200448_,"Кабель, провод, СКС",0.4628
IEK,030200449_,"Кабель, провод, СКС",0.6126
IEK,030200450_,"Кабель, провод, СКС",0.4527
IEK,030200451_,"Кабель, провод, СКС",0.6063
IEK,030200452_,"Кабель, провод, СКС",0.5931
IEK,030200453_,"Трубы, кабель-каналы, лотки",0.5817
IEK,030200454_,"Кабель, провод, СКС",0.4704
IEK,030200455_,"Кабель, провод, СКС",0.5044
IEK,030200456_,"Кабель, провод, СКС",0.4705
IEK,030200457_,Розетки и выключатели,0.5357
IEK,030200458_,"Кабель, провод, СКС",0.6609
IEK,030200459_,"Трубы, кабель-каналы, лотки",0.4587
IEK,030200460_,"Кабель, провод, СКС",0.4888
IEK,030200461_,Щиты и боксы,0.384
IEK,030200462_,"Кабель, провод, СКС",0.6024
IEK,030200463_,Щиты и боксы,0.5724
IEK,030200464_,Щиты и боксы,0.3646
IEK,030200465_,Щиты и боксы,0.2741
IEK,030200466_,Щиты и боксы,0.257
IEK,030200467_,"Трубы, кабель-каналы, лотки",0.5174
IEK,030200468_,Щиты и боксы,0.7524
IEK,030200469_,Щиты и боксы,0.5953
IEK,030200470_,"Кабель, провод, СКС",0.4351
IEK,030200471_,Щиты и боксы,0.8046
IEK,030200472_,Измерения и инструмент,0.6953
IEK,030200473_,"Кабель, провод, СКС",0.4356
IEK,030200474_,Измерения и инструмент,0.6862
IEK,030200475_,"Кабель, провод, СКС",0.4393
IEK,030200476_,"Трубы, кабель-каналы, лотки",0.4391
IEK,030200477_,Измерения и инструмент,0.6103
IEK,030200478_,Щиты и боксы,0.3984
IEK,030200479_,Щиты и боксы,0.5962
IEK,030200480_,"Шины, клеммы, изоляторы",0.4488
IEK,030200481_,"Шины, клеммы, изоляторы",0.2902
IEK,030200482_,"Шины, клеммы, изоляторы",0.6026
IEK,030200483_,"Шины, клеммы, изоляторы",0.5686
IEK,030200484_,Измерения и инструмент,0.6328
IEK,030200485_,"Кабель, провод, СКС",0.3612
IEK,030200486_,"Кабель, провод, СКС",0.5502
IEK,030200487_,"Кабель, провод, СКС",0.5731
IEK,030200488_,"Кабель, провод, СКС",0.5662
IEK,030200489_,"Кабель, провод, СКС",0.5648
IEK,030200490_,"Трубы, кабель-каналы, лотки",0.6935
IEK,030200491_,"Кабель, провод, СКС",0.4969
IEK,030200492_,Розетки и выключатели,0.4568
IEK,030200493_,"Кабель, провод, СКС",0.5954
IEK,030200494_,Щиты и боксы,0.4681
IEK,030200495_,Щиты и боксы,0.2949
IEK,030200496_,"Шины, клеммы, изоляторы",0.2584
IEK,030200497_,"Шины, клеммы, изоляторы",0.2229
IEK,030200498_,"Кабель, провод, СКС",0.4812
IEK,030200499_,Щиты и боксы,0.5946
IEK,030200500_,"Кабель, провод, СКС",0.5156
IEK,030200501_,"Кабель, провод, СКС",0.5275
IEK,030200502_,"Кабель, провод, СКС",0.5008
IEK,030200503_,"Кабель, провод, СКС",0.5203
IEK,030200504_,"Трубы, кабель-каналы, лотки",0.5923
IEK,030200505_,Измерения и инструмент,0.6803
IEK,030200506_,Щиты и боксы,0.3601
IEK,030200507_,Щиты и боксы,0.7211
IEK,030200508_,"Шины, клеммы, изоляторы",0.3906
IEK,030200509_,"Шины, клеммы, изоляторы",0.2092
IEK,030200510_,"Шины, клеммы, изоляторы",0.485
IEK,030200511_,"Шины, клеммы, изоляторы",0.383
IEK,030200512_,Измерения и инструмент,0.6621
IEK,030200513_,Розетки и выключатели,0.3038
IEK,030200514_,"Кабель, провод, СКС",0.5903
IEK,030200515_,"Кабель, провод, СКС",0.6239
IEK,030200516_,Розетки и выключатели,0.6475
IEK,030200517_,Щиты и боксы,0.5601
IEK,030200518_,Розетки и выключатели,0.4613
IEK,030200519_,"Трубы, кабель-каналы, лотки",0.2984
IEK,030200520_,"Трубы, кабель-каналы, лотки",0.2926
IEK,030200521_,"Кабель, провод, СКС",0.364
IEK,030200522_,Щиты и боксы,0.3395
IEK,030200523_,Розетки и выключатели,0.8963
IEK,030200524_,Розетки и выключатели,0.8213
IEK,030200525_,"Кабель, провод, СКС",0.4411
IEK,030200527_,"Кабель, провод, СКС",0.3389
IEK,030200528_,Щиты и боксы,0.5334
IEK,030200529_,"Трубы, кабель-каналы, лотки",0.4937
IEK,030200530_,Щиты и боксы,0.3877
IEK,030200531_,Щиты и боксы,0.4306
IEK,030200532_,"Трубы, кабель-каналы, лотки",0.6835
IEK,030200533_,Щиты и боксы,0.3116
IEK,030200534_,Щиты и боксы,0.6702
IEK,030200535_,"Трубы, кабель-каналы, лотки",0.4979
IEK,030200536_,Розетки и выключатели,0.4048
IEK,030200538_,"Трубы, кабель-каналы, лотки",0.4021
IEK,030200539_,Розетки и выключатели,0.7309
IEK,030200540_,Щиты и боксы,0.3688
IEK,030200541_,"Трубы, кабель-каналы, лотки",0.4594
IEK,030200542_,Розетки и выключатели,0.3454
IEK,030200543_,Розетки и выключатели,0.9318
IEK,030200550_,"Кабель, провод, СКС",0.401
IEK,030200551_,"Кабель, провод, СКС",0.4733
IEK,030200552_,"Кабель, провод, СКС",0.487
IEK,030200553_,"Кабель, провод, СКС",0.5616
IEK,030200554_,"Кабель, провод, СКС",0.5383
IEK,030200555_,"Трубы, кабель-каналы, лотки",0.5376
IEK,030200556_,Измерения и инструмент,0.4626
IEK,030200557_,Розетки и выключатели,0.9338
IEK,030200558_,Розетки и выключатели,0.8644
IEK,030200559_,Щиты и боксы,0.26
IEK,030200560_,"Кабель, провод, СКС",0.2355
IEK,030200561_,"Кабель, провод, СКС",0.2499
IEK,030200562_,"Кабель, провод, СКС",0.2479
IEK,030200563_,Измерения и инструмент,0.4884
IEK,030200564_,Розетки и выключатели,0.9523
IEK,030200565_,"Кабель, провод, СКС",0.4601
IEK,030200566_,Розетки и выключатели,0.419
IEK,030200567_,"Трубы, кабель-каналы, лотки",0.7961
IEK,030200568_,Розетки и выключатели,0.8744
IEK,030200739_,"Кабель, провод, СКС",0.4978
IEK,030200740_,"Кабель, провод, СКС",0.5015
IEK,030200741_,"Кабель, провод, СКС",0.4611
IEK,030200742_,Щиты и боксы,0.4583
IEK,030200743_,Измерения и инструмент,0.5569
IEK,030200744_,"Кабель, провод, СКС",0.5003
IEK,030200745_,"Кабель, провод, СКС",0.4772
IEK,030200746_,Щиты и боксы,0.7535
IEK,030200747_,"Кабель, провод, СКС",0.6075
IEK,030200748_,"Шины, клеммы, изоляторы",0.4215
IEK,030200751_,"Трубы, кабель-каналы, лотки",0.3241
IEK,030200752_,"Кабель, провод, СКС",0.6382
IEK,030200753_,"Кабель, провод, СКС",0.2078
IEK,030200754_,"Кабель, провод, СКС",0.339
IEK,030200755_,Коробки установочные,0.2698
IEK,030200756_,"Шины, клеммы, изоляторы",0.3388
IEK,030200757_,"Шины, клеммы, изоляторы",0.3042
IEK,030200758_,"Шины, клеммы, изоляторы",0.2081
IEK,030200759_,"Трубы, кабель-каналы, лотки",0.4681
IEK,030200761_,Розетки и выключатели,0.3833
IEK,030200764_,"Трубы, кабель-каналы, лотки",0.5666
IEK,030200765_,Розетки и выключатели,0.4422
IEK,030200766_,"Трубы, кабель-каналы, лотки",0.5152
